Date,Description,Amount
2026-02-01,PAYROLL DEPOSIT - ACME CORP,5500.00
2026-02-02,WHOLE FOODS #348,-142.18
2026-02-02,STARBUCKS #1024,-5.75
2026-02-03,UBER TRIP,-18.42
2026-02-04,SHELL OIL,-52.10
2026-02-05,NETFLIX.COM,-15.99
2026-02-06,AMAZON.COM*MK3LZ7,-37.89
2026-02-07,BLUE BOTTLE COFFEE,-6.50
2026-02-08,TRADER JOE'S #245,-87.32
2026-02-09,LYFT RIDE,-12.85
2026-02-10,SPOTIFY USA,-9.99
2026-02-11,PG&E ELECTRIC,-178.45
2026-02-12,ICLOUD STORAGE,-2.99
2026-02-12,CHIPOTLE #2412,-14.22
2026-02-13,TARGET STORE,-67.41
2026-02-14,NY TIMES SUBSCRIPTION,-17.00
2026-02-15,RESTAURANT TANOSHI,-58.40
2026-02-16,WHOLE FOODS #348,-128.55
2026-02-17,AAA MEMBERSHIP RENEWAL,-89.00
2026-02-18,STARBUCKS #1024,-4.95
2026-02-19,UBER EATS,-32.18
2026-02-20,COMCAST INTERNET,-79.99
2026-02-21,AMAZON.COM*KX2P,-24.50
2026-02-23,TRADER JOE'S #245,-94.21
2026-02-25,STARBUCKS #1024,-5.25
2026-02-27,SHELL OIL,-48.66
2026-03-01,PAYROLL DEPOSIT - ACME CORP,5500.00
2026-03-02,WEST ELM FURNITURE,-1247.50
2026-03-03,WHOLE FOODS #348,-156.72
2026-03-04,UBER TRIP,-15.30
2026-03-05,NETFLIX.COM,-15.99
2026-03-06,BLUE BOTTLE COFFEE,-7.25
2026-03-07,AMAZON.COM*MX9P,-89.40
2026-03-08,LYFT RIDE,-22.18
2026-03-09,RESTAURANT TANOSHI,-67.80
2026-03-10,SPOTIFY USA,-9.99
2026-03-11,PG&E ELECTRIC,-184.20
2026-03-12,ICLOUD STORAGE,-2.99
2026-03-12,STARBUCKS #1024,-5.50
2026-03-13,CHIPOTLE #2412,-13.85
2026-03-14,NY TIMES SUBSCRIPTION,-17.00
2026-03-16,WHOLE FOODS #348,-119.40
2026-03-18,TRADER JOE'S #245,-78.95
2026-03-19,STARBUCKS #1024,-5.25
2026-03-20,COMCAST INTERNET,-79.99
2026-03-22,TARGET STORE,-44.18
2026-03-24,UBER EATS,-29.50
2026-03-26,SHELL OIL,-51.30
2026-03-28,RESTAURANT MAMA LOI,-72.45
2026-04-01,PAYROLL DEPOSIT - ACME CORP,5500.00
2026-04-02,WHOLE FOODS #348,-138.20
2026-04-03,STARBUCKS #1024,-5.25
2026-04-04,UBER TRIP,-19.40
2026-04-05,NETFLIX.COM,-15.99
2026-04-06,BLUE BOTTLE COFFEE,-6.75
2026-04-07,AMAZON.COM*K8LP,-145.62
2026-04-08,LYFT RIDE,-14.20
2026-04-09,SPOTIFY USA,-9.99
2026-04-10,RESTAURANT TANOSHI,-62.10
2026-04-11,PG&E ELECTRIC,-172.18
2026-04-12,ICLOUD STORAGE,-2.99
2026-04-13,CHIPOTLE #2412,-15.30
2026-04-14,NY TIMES SUBSCRIPTION,-17.00
2026-04-15,WHOLE FOODS #348,-152.40
2026-04-17,TRADER JOE'S #245,-101.85
2026-04-18,STARBUCKS #1024,-5.50
2026-04-20,COMCAST INTERNET,-79.99
2026-04-22,TARGET STORE,-58.30
2026-04-25,SHELL OIL,-49.75
2026-04-28,UBER EATS,-27.40
2026-04-30,RESTAURANT MAMA LOI,-65.80
